Date,Category,Amount,Payment Method,Merchant,Location,Income/Expense,User ID,Transaction ID,Account Balance,Currency,Transaction Time,Day of Week
2022-04-05,Utilities,38681.09,Cash,Swiggy,Bengaluru,Expense,2a25dc9b-28a2-44d6-8ccb-e7dcf2bdf1a5,d86344e7-227b-48f9-b097-6644803182a3,226753.7,INR,18:00:53,Monday
2022-08-23,Entertainment,23069.61,Net Banking,BookMyShow,Delhi,Income,208a1431-1223-4c50-9c35-9dca49ac1b58,210eaf87-0f36-4a52-aafd-e818c9d1ad99,341544.28,INR,14:36:45,Friday
2022-08-02,Shopping,24001.5,Cash,Flipkart,Chennai,Income,2f1b2984-a631-4f8f-98c3-2341b2c97158,be812225-958d-469a-b7a3-e34105ca8d7d,403847.22,INR,17:24:19,Saturday
2022-01-21,Entertainment,7474.98,Net Banking,Amazon,Kolkata,Expense,179af4a8-5a66-4bc8-a91b-f559b5e92456,5cf43bc9-1aff-41f3-b0f9-86f25b7eed6d,484901.53,INR,20:56:43,Thursday
2023-03-30,Health,46475.87,Debit Card,Big Bazaar,Mumbai,Expense,04518b94-0a77-4c2e-b9b1-6a1ddff87c00,1096e3bf-7ea4-4b91-ba8f-c7a9688af9bc,27870.14,INR,14:21:02,Sunday
2024-04-15,Entertainment,33571.58,UPI,BookMyShow,Pune,Expense,a2376668-f93b-4c7d-9d42-79b6ffe04d9c,ef8d4b4f-7f86-4406-bb5c-2e7e430a8fa6,104476.69,INR,01:22:30,Tuesday
2020-11-01,Groceries,39527.62,Credit Card,Uber,Chennai,Expense,574b0e0f-1674-4739-a2b2-1ff7e4f83f62,3becbcdb-adc2-44cd-9aec-6a800ccbc446,93474.56,INR,05:03:10,Sunday
2022-02-17,Shopping,5768.45,Debit Card,Reliance Fresh,Ahmedabad,Expense,a3824850-2f4b-4d6e-91ed-227cfef3592c,fa0348e2-07ed-4c75-9375-02af99f56cee,46342.93,INR,10:03:24,Sunday
2021-04-17,Health,25062.85,Cash,Zomato,Chennai,Income,9ac16098-9a9f-466d-b082-0ef143869814,e92fadc9-cfb7-4d7e-a375-ce9c0c47f706,429012.79,INR,11:11:16,Thursday
2022-08-15,Education,41322.96,Debit Card,Swiggy,Hyderabad,Income,dc87d418-ff10-475f-a746-4df391a0be30,fdcbfc4b-9079-49ec-b075-646e4ac4f7e6,111686.97,INR,12:15:43,Sunday
2020-10-11,Groceries,12293.07,Credit Card,Uber,Chennai,Expense,ce29d376-94d3-4b50-8757-e885113b74e4,ce5552df-2925-448e-a842-00726b4b1998,241934.16,INR,21:15:12,Saturday
2022-05-20,Dining,22143.37,Credit Card,Flipkart,Kolkata,Expense,611c08d6-dcae-42ff-adc1-f12f8aa87fba,e729ce46-d60e-41d7-acaa-c562c1694732,426687.33,INR,08:38:01,Thursday
2020-03-17,Transportation,3651.41,Debit Card,Amazon,Hyderabad,Expense,02b1c564-a0be-4541-9253-7505305b5e93,bc825877-ecb2-41d1-9187-5b62608055b8,485020.28,INR,04:41:40,Tuesday
2023-03-16,Entertainment,25458.19,Cash,BookMyShow,Kolkata,Expense,1261534b-3039-4807-9511-5bda004e5788,811ef246-5587-4ac2-80e9-de1814d0848d,190542.0,INR,22:39:38,Saturday
2022-06-11,Health,15256.1,Cash,Swiggy,Delhi,Income,ad957d13-b9b0-4c56-945e-27d167383db3,2fbad6c4-69ce-40f8-9188-fe64194381bc,92585.3,INR,18:45:08,Wednesday
2024-05-27,Education,28085.2,Debit Card,Big Bazaar,Mumbai,Expense,5b7ec7d7-5c4f-43e1-aa03-668d3cbe02fa,d2398add-a6af-42cb-be85-77ddbc4c6552,479584.43,INR,02:29:36,Wednesday
2023-11-07,Education,14476.17,Debit Card,Swiggy,Hyderabad,Expense,3cd2db45-ecdd-43c0-bb8f-d1d936f4573b,19c7bd07-450d-4a93-b74b-9286659cd677,48499.23,INR,16:47:35,Saturday
2021-03-25,Entertainment,11581.24,Net Banking,Big Bazaar,Ahmedabad,Income,f29536f6-0c5d-45e0-9dcb-b6b3543aa6e7,87f8d3ae-6b45-4441-b80e-0f221135350a,177997.39,INR,00:04:08,Tuesday
